"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
39,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Radłów (gmina miejsko-wiejska)",5,"05","121605","wola radłowska",,1,1,3,0,"niska szybkoć łšcza szerokopasmowego- 2mb. Łšcze nie spełnia zdecydowanej większoci usług multimedialnych ","2012-10-08 21:01"
40,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Zakliczyn (gmina miejsko-wiejska)",14,14,"121614","Palenica 104",,1,3,1,0,,"2012-10-08 21:38"
41,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","czółna",,2,0,0,0,,"2012-10-08 22:40"
42,"MAZOWIECKIE",14,14,"otwocki",17,17,"Wišzowna (gmina wiejska)",8,"08","141708","Pęclin",,1,4,1,0,,"2012-10-08 22:41"
43,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zabierzów (gmina wiejska)",16,16,"120616","szczyglice","jurajska",1,3,1,0,,"2012-10-08 23:45"
44,"MAŁOPOLSKIE",12,12,"wadowicki",18,18,"Wieprz (gmina wiejska)",10,10,"121810","gierałtowice",,1,2,0,0,"Internet do 1 Mb, nieopłaca sie inwestowac w szybsza siec:-(","2012-10-09 00:48"
45,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Sochy",,1,2,1,0,,"2012-10-09 08:19"
46,"WIELKOPOLSKIE",30,30,"kaliski",7,"07","Żelazków (gmina wiejska)",11,11,"300711","Anielin",,1,2,1,0,,"2012-10-09 08:54"
47,"WARMIŃSKO-MAZURSKIE",28,28,"nidzicki",11,11,"Janowiec Kocielny (gmina wiejska)",1,"01","281101","Janowiec Kocielny",,2,0,0,0,,"2012-10-09 09:03"
48,"LUBUSKIE",8,"08","słubicki",5,"05","Rzepin (gmina miejsko-wiejska)",4,"04","080504","Rzepin","Północna",1,2,1,0,,"2012-10-09 09:12"
49,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Rzezawa (gmina wiejska)",7,"07","120107","Rzezawa","Gaj",1,2,1,0,,"2012-10-09 09:16"
50,"ZACHODNIOPOMORSKIE",32,32,"koszaliński",9,"09","wieszyno (gmina wiejska)",8,"08","320908","wieszyno",,2,0,0,0,,"2012-10-09 09:17"
51,"WIELKOPOLSKIE",30,30,"turecki",27,27,"Przykona (gmina wiejska)",6,"06","302706","Laski",,1,5,1,0,,"2012-10-09 09:46"
52,"DOLNOLĽSKIE",2,"02","kamiennogórski",7,"07","Lubawka (gmina miejsko-wiejska)",3,"03","020703","Uniemyl","cała miejscowoć",1,1,1,0,,"2012-10-09 09:49"
53,"DOLNOLĽSKIE",2,"02","kamiennogórski",7,"07","Lubawka (gmina miejsko-wiejska)",3,"03","020703","Okrzeszyn",,1,1,1,0,,"2012-10-09 09:50"
54,"ZACHODNIOPOMORSKIE",32,32,"koszaliński",9,"09","wieszyno (gmina wiejska)",8,"08","320908","Dunowo",,1,2,1,0,,"2012-10-09 09:51"
55,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Zwierzyniec","Biały Słup 15A",1,3,1,0,,"2012-10-09 09:57"
56,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Zwierzyniec","Jarzębinowa",1,3,1,0,,"2012-10-09 09:57"
57,"WIĘTOKRZYSKIE",26,26,"skarżyski",10,10,"Bliżyn (gmina wiejska)",2,"02","261002","Gostków",,1,3,1,0,,"2012-10-09 10:06"
58,"LUBELSKIE",6,"06","łukowski",11,11,"Krzywda (gmina wiejska)",4,"04","061104","Fiukówka",,1,2,3,0,"Na terenie miejscowoci brak jest infrastruktury wiatłowodowej/kablowej","2012-10-09 10:09"
59,"MAŁOPOLSKIE",12,12,"gorlicki",5,"05","Ucie Gorlickie (gmina wiejska)",10,10,"120510","stawisza",,2,0,0,0,,"2012-10-09 10:11"
60,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Kocmyrzów-Luborzyca (gmina wiejska)",5,"05","120605","Luborzyca",,1,2,1,0,,"2012-10-09 10:21"
61,"PODLASKIE",20,20,"hajnowski",5,"05","Dubicze Cerkiewne (gmina wiejska)",5,"05","200505","Piaski",,2,0,0,0,,"2012-10-09 10:57"
62,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","więtajno",,1,2,1,0,,"2012-10-09 11:04"
63,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Sękowo",,1,3,1,0,,"2012-10-09 11:06"
64,"PODLASKIE",20,20,"hajnowski",5,"05","Dubicze Cerkiewne (gmina wiejska)",5,"05","200505","Piaski",,2,0,0,0,,"2012-10-09 11:06"
65,"LUBELSKIE",6,"06","zamojski",20,20,"Szczebrzeszyn (gmina miejsko-wiejska)",13,13,"062013","Szczebrzeszyn","Nadrzeczna",1,2,1,0,,"2012-10-09 11:13"
66,"WIELKOPOLSKIE",30,30,"redzki",25,25,"roda Wielkopolska (gmina miejsko-wiejska)",4,"04","302504","Brodowo",,1,2,1,0,,"2012-10-09 11:13"
67,"MAZOWIECKIE",14,14,"warszawski zachodni",32,32,"Izabelin (gmina wiejska)",2,"02","143202","Helenówek","Przecinka",1,1,3,0,"Otrzymałam wszystkie wyżej wskazane odpowiedzi, po czym TPSA stwierdziło, że może mi pucić kabel nad ziemiš tworzšc bardzo estetyczny sznur do powieszenia prania.  ","2012-10-09 11:28"
68,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Zakliczyn (gmina miejsko-wiejska)",14,14,"121614","stróże",,1,2,2,3,,"2012-10-09 11:37"
69,"POMORSKIE",22,22,"kartuski",5,"05","Przodkowo (gmina wiejska)",3,"03","220503","POMIECZYNO","NOWA",1,2,1,0,,"2012-10-09 11:44"
70,"MAZOWIECKIE",14,14,"legionowski",8,"08","Nieporęt (gmina wiejska)",3,"03","140803","nieporęt","plac wolnoci",1,3,1,0,,"2012-10-09 12:04"
71,"MAŁOPOLSKIE",12,12,"mylenicki",9,"09","Sułkowice (gmina miejsko-wiejska)",7,"07","120907","Rudnik","Słoneczna",1,1,1,0,,"2012-10-09 12:06"
72,"ZACHODNIOPOMORSKIE",32,32,"łobeski",18,18,"Łobez (gmina miejsko-wiejska)",2,"02","321802","Łobez",,1,1,0,0,"operator zainstalował usługę w cišgu tygodnia","2012-10-09 12:16"
73,"MAZOWIECKIE",14,14,"grodziski",5,"05","Grodzisk Mazowiecki (gmina miejsko-wiejska)",4,"04","140504","Adamowizna","Dzika",1,2,1,0,,"2012-10-09 12:34"
74,"ŁÓDZKIE",10,10,"rawski",13,13,"Rawa Mazowiecka (gmina wiejska)",4,"04","101304","Dziurdzioły",,1,5,1,0,,"2012-10-09 12:34"
75,"MAŁOPOLSKIE",12,12,"suski",15,15,"Zawoja (gmina wiejska)",8,"08","121508","Zawoja","Zawoja Czatoża (osiedle)",1,1,1,0,,"2012-10-09 12:52"
76,"DOLNOLĽSKIE",2,"02","oławski",15,15,"Jelcz-Laskowice (gmina miejsko-wiejska)",3,"03","021503","Nowy Dwór","Wrocławska",1,2,1,0,,"2012-10-09 12:59"
77,"PODKARPACKIE",18,18,"rzeszowski",16,16,"Krasne (gmina wiejska)",9,"09","181609","Krasne",,1,1,3,0,"brak planowanych inwestycji na tym obszarze w najbliższej przyszłoci","2012-10-09 13:02"
78,"LUBELSKIE",6,"06","krasnostawski",6,"06","Krasnystaw (gmina miejska)",1,"01","060601","Krasnystaw",,2,0,0,0,,"2012-10-09 13:03"
79,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Marki (gmina miejska)",2,"02","143402","Marki","Tadeusza Jasińskiego",1,2,1,0,,"2012-10-09 13:06"
80,"DOLNOLĽSKIE",2,"02","kłodzki",8,"08","Bystrzyca Kłodzka (gmina miejsko-wiejska)",6,"06","020806","Gorzanów","Kolonia muszyn 5",1,5,1,0,,"2012-10-09 13:07"
81,"ZACHODNIOPOMORSKIE",32,32,"koszaliński",9,"09","Mielno (gmina wiejska)",5,"05","320905","Mielno","Kopernika",1,2,1,0,,"2012-10-09 13:07"
82,"LUBELSKIE",6,"06","łukowski",11,11,"Krzywda (gmina wiejska)",4,"04","061104","Wola Okrzejska",,1,2,1,0,,"2012-10-09 13:08"
83,"POMORSKIE",22,22,"starogardzki",13,13,"Starogard Gdański (gmina wiejska)",12,12,"221312","Nowa Wie Rzeczna","Os. Witosa",1,1,1,0,,"2012-10-09 13:10"
84,"ŁÓDZKIE",10,10,"opoczyński",7,"07","Sławno (gmina wiejska)",7,"07","100707","Gawrony",,1,2,1,0,,"2012-10-09 13:10"
85,"POMORSKIE",22,22,"kartuski",5,"05","Żukowo (gmina miejsko-wiejska)",8,"08","220508","Chwaszczyno","Nałkowskiej",1,1,1,0,,"2012-10-09 13:11"
86,"WARMIŃSKO-MAZURSKIE",28,28,"ostródzki",15,15,"Ostróda (gmina wiejska)",9,"09","281509","Samborowo","Modrzewiowa",1,1,1,0,,"2012-10-09 13:12"
87,"KUJAWSKO-POMORSKIE",4,"04","golubsko-dobrzyński",5,"05","Golub-Dobrzyń (gmina wiejska)",3,"03","040503","Lisewo",,1,2,1,0,,"2012-10-09 13:12"
88,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa","Przy Agorze 14",1,1,3,0,"brak mozliwoci technicznych transmisji danych powyżej 1Mb/s","2012-10-09 13:13"
89,"ZACHODNIOPOMORSKIE",32,32,"goleniowski",4,"04","Maszewo (gmina miejsko-wiejska)",3,"03","320403","Budzieszowce",,1,1,3,0,"Brak opłacalnoci podłšczenia internetu do domu w którym nie ma gniazda telefonicznego","2012-10-09 13:16"
90,"MAZOWIECKIE",14,14,"piaseczyński",18,18,"Lesznowola (gmina wiejska)",3,"03","141803","Nowa Wola","Magnolii",1,1,1,0,,"2012-10-09 13:19"
91,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Papowo Biskupie (gmina wiejska)",5,"05","040405","NOWY DWÓR KRÓLEWSKI",,1,1,1,0,,"2012-10-09 13:21"
92,"DOLNOLĽSKIE",2,"02","górowski",4,"04","Góra (gmina miejsko-wiejska)",1,"01","020401","Góra","Mickiewicza",1,1,1,0,,"2012-10-09 13:23"
93,"ŁÓDZKIE",10,10,"brzeziński",21,21,"Rogów (gmina wiejska)",5,"05","102105","Rogów",,1,2,3,0,"zasięg sieci EDGE jest wystarczajšcy do przeglšdania stron internetowych (rzeczywista prędkoć transmisji ok 8-10kB/sek)","2012-10-09 13:25"
94,"MAZOWIECKIE",14,14,"miński",12,12,"Dębe Wielkie (gmina wiejska)",5,"05","141205","Dębe Wielkie","Braci Tabiszewskich",1,1,1,0,,"2012-10-09 13:28"
95,"WIĘTOKRZYSKIE",26,26,"kielecki",4,"04","Morawica (gmina wiejska)",12,12,"260412","Bilcza","Pogodna",1,1,1,0,,"2012-10-09 13:33"
96,"LUBELSKIE",6,"06","zamojski",20,20,"Szczebrzeszyn (gmina miejsko-wiejska)",13,13,"062013","Bodaczów",,2,0,0,0,,"2012-10-09 13:34"
97,"MAZOWIECKIE",14,14,"pruszkowski",21,21,"Pruszków (gmina miejska)",2,"02","142102","Pruszków ","Kaczanowskiego",1,2,1,0,,"2012-10-09 13:34"
98,"LUBELSKIE",6,"06","Biała Podlaska",61,61,"Biała Podlaska (gmina miejska)",1,"01","066101","Biała Podlaska","Długa",1,3,3,0,"Ze względu na Brak możliwoci technicznych nie ma szans na korzystanie z nielimitowanego internetu, Jedynie na tym obszarze wchodzš w gre sieci radiowe lub dostęp mobilny lecz jakoć jest słaba lub ograniczona limitem pobierania danych.","2012-10-09 13:36"
99,"POMORSKIE",22,22,"gdański",4,"04","Kolbudy (gmina wiejska)",3,"03","220403","Kowale","Andromedy 7",1,5,1,0,,"2012-10-09 13:39"
100,"LUBELSKIE",6,"06","janowski",5,"05","Janów Lubelski (gmina miejsko-wiejska)",5,"05","060505","Janów Lubelski","Piłsudskiego",1,3,2,4,,"2012-10-09 13:45"
101,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Żabno (gmina miejsko-wiejska)",15,15,"121615","Choršżec",,1,3,1,0,,"2012-10-09 13:45"
102,"PODKARPACKIE",18,18,"Rzeszów",63,63,"Rzeszów (gmina miejska)",1,"01","186301","Rzeszów","ródlana",1,1,3,0,"Na obszarze Białej, niedawno dołšczonej do Rzeszowa możliwe jest podłšćzenie sie do internetu tylko u operatora OST Tyczyn. Brak jest mozliwoci skorzystania z atrakcyjnych ofert innych operatorów/dostawców internetu - Netia, TPsa, Multimo.

Taka sytuacja jest okrelana jako monopol. Jeden operator wiadczy uslugi telekomunikacyjne i okresla ceny, ktore nie sš podatne na działania konkurencji. 

Dla informacji: 

OST to spoldzielnia telefoniczna,

przystapienie do spoldzielni to wydatek 1000PLN ","2012-10-09 13:45"
103,"OPOLSKIE",16,16,"opolski",9,"09","Niemodlin (gmina miejsko-wiejska)",7,"07","160907","Lipno",,1,1,1,0,,"2012-10-09 13:45"
104,"POMORSKIE",22,22,"wejherowski",15,15,"Reda (gmina miejska)",1,"01","221501","Reda","Zuchów",1,3,1,0,,"2012-10-09 13:48"
105,"ZACHODNIOPOMORSKIE",32,32,"sławieński",13,13,"Postomino (gmina wiejska)",5,"05","321305","Korlino",,1,2,3,0,"TELEKOMUNIKACJA POLSKA oraz ORANGE, wiadczyła nam w tej miejscowoci dostęp do Internetu o prędkoci 1MB/s przez 2 lata. Od tego roku dostalimy odpowied, że nie możemy mieć większej prędkoci niż 256kb/s. Prosiłbym o interwencję w tej sprawie, ponieważ TP jak i Orange umywajš od tego ręce.","2012-10-09 13:48"
106,"LUBELSKIE",6,"06","chełmski",3,"03","Ruda-Huta (gmina wiejska)",9,"09","060309","Ruda-Opalin",,1,2,2,4,,"2012-10-09 13:49"
107,"MAZOWIECKIE",14,14,"Ostrołęka",61,61,"Ostrołęka (gmina miejska)",1,"01","146101","Drężewo","Klonowa",1,2,1,0,,"2012-10-09 13:52"
108,"LUBUSKIE",8,"08","zielonogórski",9,"09","Zabór (gmina wiejska)",9,"09","080909","Droszków","ul. Poziomkowa",1,2,1,0,,"2012-10-09 13:53"
109,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Olszewo-Borki (gmina wiejska)",9,"09","141509","Drężewo","Klonowa",1,2,1,0,,"2012-10-09 13:54"
110,"WARMIŃSKO-MAZURSKIE",28,28,"nidzicki",11,11,"Nidzica (gmina miejsko-wiejska)",4,"04","281104","Napiwoda",,1,3,1,0,,"2012-10-09 13:54"
111,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare","Wybudowanie za torami i cała wioska",1,2,3,0,"Jastrzębsko Stare znajduje się w dołku i nie istniejš możliwoci techniczne","2012-10-09 14:01"
112,"PODLASKIE",20,20,"hajnowski",5,"05","Białowieża (gmina wiejska)",2,"02","200502","Czerlonka",,1,5,1,0,,"2012-10-09 14:01"
113,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare",,1,2,1,0,,"2012-10-09 14:02"
114,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare",,1,2,1,0,,"2012-10-09 14:03"
115,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare",,1,2,1,0,,"2012-10-09 14:04"
116,"PODLASKIE",20,20,"hajnowski",5,"05","Białowieża (gmina wiejska)",2,"02","200502","Czerlonka",,1,4,1,0,,"2012-10-09 14:04"
117,"ZACHODNIOPOMORSKIE",32,32,"goleniowski",4,"04","Goleniów (gmina miejsko-wiejska)",2,"02","320402","Modrzewie",,1,3,1,0,,"2012-10-09 14:05"
118,"POMORSKIE",22,22,"wejherowski",15,15,"Szemud (gmina wiejska)",9,"09","221509","Dobrzewino","Kasztelańska",1,2,1,0,,"2012-10-09 14:05"
119,"POMORSKIE",22,22,"wejherowski",15,15,"Łęczyce (gmina wiejska)",8,"08","221508","Łęczyce","Słoneczna",1,1,1,0,,"2012-10-09 14:05"
120,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare",,1,3,1,0,,"2012-10-09 14:06"
121,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Mierzyn","Ekologiczna",1,6,3,0,"Usługa była wiadczona m.in przez TP i Netie na kablu TP, ale pomimo ze firmy sprzedawały łšcza do 2Mb to ledwie działało pare kilo. Telefon szumiał i nie mozna było rozmawiać. Obecnie juz usługi nie sa dostepne. Problem wynika z odleglosci od centrali/dslama, jest to sporo powyzej 5km przy bardzo słabych kablach. Jedyny dostepny intenret do komórkowy.","2012-10-09 14:08"
122,"WIELKOPOLSKIE",30,30,"pilski",19,19,"Łobżenica (gmina miejsko-wiejska)",4,"04","301904","Dębno",,1,10,1,0,,"2012-10-09 14:08"
123,"LĽSKIE",24,24,"Bielsko-Biała",61,61,"Bielsko-Biała (gmina miejska)",1,"01","246101","Puszcza Wielka",,1,10,1,0,,"2012-10-09 14:11"
124,"POMORSKIE",22,22,"bytowski",1,"01","Kołczygłowy (gmina wiejska)",4,"04","220104","Gałšżnia Mała",,1,2,0,0,"Oprócz braku dostępu do internetu jest również bardzo słaby sygnał telefonii komórkowej a raczej rownież jego brak ","2012-10-09 14:14"
125,"DOLNOLĽSKIE",2,"02","redzki",18,18,"Kostomłoty (gmina wiejska)",1,"01","021801","Lisowice",,1,2,1,0,,"2012-10-09 14:15"
126,"PODLASKIE",20,20,"białostocki",2,"02","Choroszcz (gmina miejsko-wiejska)",1,"01","200201","izbiszcze",,0,0,0,0,,"2012-10-09 14:24"
127,"MAZOWIECKIE",14,14,"płocki",19,19,"Stara Biała (gmina wiejska)",13,13,"141913","Ludwikowo",,1,2,1,0,,"2012-10-09 14:25"
128,"WIELKOPOLSKIE",30,30,"pleszewski",20,20,"Dobrzyca (gmina wiejska)",3,"03","302003","Izbiczno",,1,3,1,0,,"2012-10-09 14:28"
129,"LĽSKIE",24,24,"bielski",2,"02","Wilkowice (gmina wiejska)",10,10,"240210","Bystra","Szczyrkowska",1,1,1,0,,"2012-10-09 14:31"
130,"ŁÓDZKIE",10,10,"sieradzki",14,14,"Goszczanów (gmina wiejska)",6,"06","101406","Wójcinek","Wójcinek",1,3,1,0,,"2012-10-09 14:31"
131,"ŁÓDZKIE",10,10,"sieradzki",14,14,"Goszczanów (gmina wiejska)",6,"06","101406","Waliszewice","Waliszewice",1,2,1,0,,"2012-10-09 14:32"
132,"KUJAWSKO-POMORSKIE",4,"04","włocławski",18,18,"Boniewo (gmina wiejska)",3,"03","041803","Otmianowo",,1,3,1,0,,"2012-10-09 14:33"
133,"ZACHODNIOPOMORSKIE",32,32,"drawski",3,"03","Kalisz Pomorski (gmina miejsko-wiejska)",3,"03","320303","Kalisz Pomorski",,1,2,2,4,,"2012-10-09 14:33"
134,"MAZOWIECKIE",14,14,"węgrowski",33,33,"Łochów (gmina miejsko-wiejska)",5,"05","143305","Łochów","Wyszkowska/Jodłowa",1,2,1,0,,"2012-10-09 14:38"
135,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Wielka Wie (gmina wiejska)",15,15,"120615","Wielka Wie","Spokojna",1,1,2,4,,"2012-10-09 14:39"
136,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Tłuszcz (gmina miejsko-wiejska)",11,11,"143411","Tłuszcz","Kasprowicza",1,1,2,4,,"2012-10-09 14:40"
