"nazwa główna","szerokość geograficzna","długość geograficzna","identyfikator jednostki podziału terytorialnego kraju"
"Adamów","52°15'43''","18°05'21''","3010015"
"Adamów","52°09'14''","18°21'47''","3010062"
"Kadzidłowa-Adamów","52°11'34''","18°56'21''","1004042"
"Adamów","52°20'27''","19°38'40''","1404052"
"Adamów","52°17'06''","19°34'14''","1002092"
"Adamów","52°10'52''","19°12'23''","1004022"
"Adamów","52°16'18''","19°17'21''","1002062"
"Adamów","52°12'46''","19°32'11''","1002022"
"Adamów","52°08'49''","20°38'06''","1405045"
"Adamów","51°54'59''","20°14'06''","1015072"
"Adamów","52°19'03''","21°48'17''","1433092"
"Adamów","52°16'52''","21°42'21''","1412062"
"Adamów","51°39'59''","19°57'54''","1016032"
"Adamów","51°40'11''","20°54'46''","1401022"
"Adamów","51°34'37''","19°47'14''","1016022"
"Adamów","51°43'22''","21°18'04''","1407042"
"Adamów","51°44'35''","22°15'52''","0611032"
"Adamów","51°37'09''","21°22'19''","1407022"
"Adamów","51°15'02''","23°06'17''","0610012"
"Adamów","51°06'49''","23°18'51''","0603152"
"Adamów","51°30'16''","20°44'46''","1423052"
"Adamów","51°22'45''","21°23'05''","1425022"
"Adamów","51°19'24''","21°02'31''","1425072"
"Adamów","50°35'39''","23°09'01''","0620012"
"Adamów","51°52'19''","19°00'13''","1011035"
"Adamów","51°46'19''","19°41'26''","1021022"
"Adamów","51°24'22''","19°18'10''","1001022"
"Adamów","51°12'41''","19°22'09''","1001042"
"Adamów","51°09'29''","19°44'55''","1010052"
"Adamów","51°06'03''","19°17'35''","1012092"
"Adamów","51°26'47''","19°54'45''","1010115"
"Adamów","51°21'33''","20°23'35''","1007045"
"Adamów","51°16'54''","20°06'42''","1007052"
"Adamów","51°11'46''","20°08'03''","1007082"
"Adamów","51°01'10''","21°08'58''","2611022"
"Adamów","51°01'60''","21°09'07''","2611022"
"Adamów","51°01'44''","21°26'35''","1409052"
"Adamów","50°59'33''","20°43'57''","2604192"
"Adamów","50°48'34''","21°27'27''","2606045"
"Adamów","51°03'35''","20°25'49''","2605072"
"Adamów","50°46'39''","21°31'32''","2606032"
"Adamów","50°58'09''","19°12'37''","2404112"
"Adamów","50°52'05''","19°20'07''","2404052"
"Adamów","50°43'45''","19°11'08''","2404132"
"Adamów-Kolonia","52°15'27''","18°04'26''","3010015"
"Adamów-Kolonia","50°35'02''","23°08'11''","0620012"
"Adamów-Kolonia","50°52'32''","19°20'38''","2404052"
"Adamów-Parcel","52°00'57''","20°34'36''","1438042"
"Adamów-Wieś","52°01'51''","20°35'38''","1438042"
"Adamów Drwalewski","51°55'23''","21°02'06''","1406032"
"Adamów Górny","52°20'32''","19°38'10''","1404052"
"Adamów Rososki","51°55'05''","21°08'24''","1406032"
"Adamówek","52°21'59''","20°43'33''","1414022"
"Adamówek","51°56'48''","20°32'15''","1438025"
"Adamówek","51°56'54''","19°16'46''","1020021"
"Adamówek","51°34'01''","18°55'28''","1019032"
"Kolonia Adamówek","52°21'34''","20°43'33''","1414022"
"Adamówka","52°12'24''","21°27'41''","1412052"
"Adamówka","52°07'45''","21°21'34''","1417082"
"Adamówka","50°56'08''","22°48'16''","0606112"
"Adamówka","51°25'33''","21°55'51''","0614092"
"Adamówka","51°23'51''","21°55'34''","0614092"
"Adamówka","50°09'53''","22°21'17''","1810072"
"Adamówka","50°15'31''","22°41'43''","1814022"
"Adamówka","49°59'15''","22°47'06''","1804042"
"Adamówka","50°32'14''","21°09'58''","2612074"
"Adampol","52°30'59''","21°35'26''","1434062"
"Adampol","52°23'41''","21°43'24''","1433032"
"Adampol","51°32'43''","23°27'41''","0619082"
"Adampol","51°13'09''","22°40'54''","0617011"
"Adampol","51°33'17''","23°27'34''","0619082"
"Adamusy","53°24'26''","21°46'48''","2006062"
"Adamy","49°41'25''","19°28'12''","1215072"
"Adelajda","49°56'47''","18°46'12''","2410055"
"Adelin","51°52'21''","18°23'26''","3007062"
"Adelin","52°29'44''","21°26'38''","1435062"
"Adelin","52°21'23''","21°06'33''","1434021"
"Adelin","51°48'32''","20°40'32''","1406022"
"Adelina","51°08'16''","22°08'56''","0612012"
"Adelina","50°39'35''","23°46'29''","0604082"
"Adelinów","51°16'57''","19°52'44''","1010095"
"Adelinów","51°04'17''","20°04'46''","2605012"
"Adientówka","52°09'50''","21°36'46''","1412112"
"Adolfin","52°42'58''","18°40'11''","0401092"
"Adolfin","51°10'44''","23°17'27''","0603115"
"Adolfin","51°26'57''","21°23'19''","1425082"
"Adolfin-Bachorza","52°43'17''","18°40'21''","0401092"
"Adolfinów","51°17'52''","19°32'53''","1010082"
"Adolfowo","52°06'32''","16°12'54''","3005045"
"Adolfowo","52°58'12''","17°01'09''","3001045"
"Adolfowo","52°55'44''","20°03'58''","1413042"
"Adolfów","52°39'07''","22°16'53''","1429032"
"Adolfów","51°56'06''","19°21'32''","1020092"
"Adolfów","51°40'51''","19°08'21''","1003052"
"Adrianka","53°28'05''","19°31'47''","2812052"
"Afryka","51°13'23''","20°04'53''","1007082"
"Agatówka","50°36'38''","22°00'29''","1818062"
"Agatówka","50°50'17''","22°04'53''","0607072"
"Kolonia Agatówka","50°50'04''","22°04'57''","0607072"
"Agnieszczyn","50°23'02''","17°54'49''","1605025"
"Kolonia Agnieszki","50°17'09''","19°00'32''","2469011"
"Agnieszkowo","52°33'21''","18°45'54''","0418125"
"Agnieszkowo","52°55'38''","19°31'04''","1427062"
"Agnieszkowo","52°55'53''","20°02'13''","1413042"
"Agnieszkowo-Krzyżówki","52°55'00''","19°32'44''","1427062"
"Agnieszków","51°45'23''","18°20'33''","3007052"
"Agnopol","51°39'44''","20°01'45''","1016032"
"Agrafinówka","54°09'21''","22°44'23''","2012022"
"Agronomówka","53°26'13''","15°31'58''","3214055"
"Agroosiedle","51°08'52''","17°41'46''","1606052"
"Akacyjki","51°31'01''","18°09'13''","3018035"
"Osiedle Akademickie","54°27'13''","17°02'32''","2263011"
"Osiedle Akademickie","51°25'16''","21°09'36''","1463011"
"Aksamitowizna","54°13'29''","22°39'22''","2012042"
"Aksamity","49°40'54''","20°05'51''","1207021"
"Aksmanice","49°40'38''","22°45'02''","1813032"
"Akwizgran","50°55'39''","20°23'00''","2604182"
"Albania","52°42'53''","21°17'29''","1424022"
"Albertowa","49°27'23''","19°40'56''","1211052"
"Albertowo","53°42'01''","19°05'46''","2207022"
"Albertowsko","52°15'59''","16°11'53''","3005025"
"Albertów","52°01'33''","18°24'54''","3027082"
"Albertów","50°35'37''","16°46'44''","0224055"
"Albertów","51°40'34''","19°49'28''","1016072"
"Albertów","51°35'49''","20°06'48''","1016062"
"Albertów","51°17'57''","23°03'22''","0610052"
"Albertów","51°47'32''","19°10'60''","1008062"
"Albertów","51°01'41''","18°49'11''","2406032"
"Albertów Drugi","51°18'03''","23°03'54''","0610052"
"Albertów Pierwszy","51°17'32''","23°03'33''","0610052"
"Albertynowo","52°49'50''","17°03'08''","3001022"
"Osiedle Albertyńskie","50°04'55''","20°01'08''","1261039"
"Albigowa","50°01'14''","22°13'31''","1810042"
"Albinów","52°36'32''","22°07'31''","1429055"
"Albinów","51°58'20''","19°49'30''","1020052"
"Albinów","52°10'35''","21°56'09''","1426032"
"Albinów Duży","50°42'58''","22°44'33''","0602062"
"Albinów Mały","50°42'49''","22°43'44''","0602062"
"Albrechtowo","52°26'13''","18°28'18''","3010132"
"Albrechtówka","51°18'45''","21°54'56''","0614044"
"Alej Borowa","49°56'02''","19°03'24''","2402022"
"Alej Kaniowska","49°56'06''","19°02'23''","2402022"
"Aleja","51°40'35''","18°08'42''","3007042"
"Osiedle Aleja Pokoju","51°35'23''","18°43'42''","1014011"
"Aleksandria","51°37'07''","18°12'55''","3007022"
"Aleksandria","51°36'46''","18°29'06''","1014025"
"Aleksandria","52°36'13''","20°37'22''","1420082"
"Aleksandria","52°00'14''","20°25'30''","1438032"
"Aleksandria","51°56'35''","19°19'45''","1020062"
"Aleksandria Druga","50°43'55''","18°56'24''","2404072"
"Aleksandria Krzywowolska","51°08'22''","23°16'23''","0603152"
"Aleksandria Krzywowolska Dolna","51°08'02''","23°16'53''","0603152"
"Aleksandria Krzywowolska Górna","51°08'22''","23°16'02''","0603152"
"Aleksandria Niedziałowska","51°04'37''","23°21'05''","0603152"
"Aleksandria Niedziałowska-Huta","51°04'30''","23°20'47''","0603152"
"Aleksandria Pierwsza","50°44'19''","18°57'18''","2404072"
"Aleksandrowice","51°26'34''","16°47'12''","0222022"
"Aleksandrowice","50°04'52''","19°45'47''","1206162"
"Aleksandrowice","49°48'25''","19°00'06''","2461011"
"Osiedle Aleksandrowickie","49°48'40''","19°00'50''","2461011"
"Aleksandrowiec","53°18'27''","18°03'56''","0403032"
"Aleksandrowo","51°50'29''","16°56'05''","3004025"
"Aleksandrowo","52°13'59''","16°07'11''","3005045"
"Aleksandrowo","52°43'11''","16°18'35''","3024085"
"Aleksandrowo","52°37'54''","15°56'21''","3014035"
"Aleksandrowo","52°54'15''","17°29'40''","3028062"
"Aleksandrowo","53°13'20''","18°08'24''","0403032"
"Aleksandrowo","53°01'55''","17°50'09''","0410055"
"Aleksandrowo","52°48'54''","18°02'58''","0419015"
"Aleksandrowo","52°40'29''","18°52'21''","0418045"
"Aleksandrowo","52°30'04''","18°27'60''","0411055"
"Aleksandrowo","52°55'35''","20°19'20''","1413052"
"Aleksandrowo","52°51'12''","20°17'54''","1413052"
"Aleksandrowo","52°37'40''","19°54'24''","1419142"
"Aleksandrowo","54°05'09''","22°46'22''","2012012"
"Aleksandrowo","54°05'43''","23°09'33''","2009032"
"Aleksandrowo","52°44'27''","21°24'42''","1435032"
"Aleksandrowo","52°34'12''","22°47'20''","2010042"
"Aleksandrowo","53°50'14''","21°56'14''","2816025"
"Aleksandrowo","52°32'12''","20°48'05''","1414045"
"Aleksandrowo","53°13'20''","20°52'18''","1422025"
"Aleksandrowo","53°09'24''","21°25'30''","1415062"
"Aleksandrowo","53°03'08''","21°54'03''","1415112"
"Aleksandrów","52°03'42''","17°24'29''","3025032"
"Aleksandrów","52°01'06''","18°39'24''","3027062"
"Aleksandrów","51°54'02''","18°13'34''","3007072"
"Aleksandrów","51°05'45''","18°28'21''","1608045"
"Aleksandrów","52°15'03''","18°59'15''","3009032"
"Aleksandrów","52°19'42''","19°24'36''","1002102"
"Aleksandrów","52°14'14''","19°34'00''","1002115"
"Aleksandrów","52°24'59''","21°08'53''","1434094"
"Aleksandrów","52°24'15''","21°02'54''","1408032"
"Aleksandrów","52°19'37''","19°49'45''","1404042"
"Aleksandrów","52°18'18''","19°57'04''","1428032"
"Aleksandrów","52°19'29''","20°36'43''","1414022"
"Aleksandrów","52°15'24''","20°07'38''","1428062"
"Aleksandrów","52°08'25''","20°19'16''","1438052"
"Aleksandrów","51°49'09''","20°30'51''","1013025"
"Aleksandrów","52°12'53''","21°43'26''","1412082"
"Aleksandrów","51°57'54''","20°56'53''","1418052"
"Aleksandrów","51°55'31''","20°43'00''","1406092"
"Aleksandrów","51°56'37''","21°10'46''","1418015"
"Aleksandrów","51°48'56''","21°32'43''","1403062"
"Aleksandrów","51°37'41''","19°51'53''","1016102"
"Aleksandrów","51°46'01''","21°19'38''","1407062"
"Aleksandrów","51°50'11''","21°40'30''","1403052"
"Aleksandrów","51°54'06''","22°27'44''","0611052"
"Aleksandrów","51°53'39''","22°04'07''","0611072"
"Aleksandrów","51°53'38''","22°03'40''","0611112"
"Aleksandrów","51°47'24''","23°21'02''","0601152"
"Aleksandrów","51°35'21''","20°47'24''","1401065"
"Aleksandrów","51°25'15''","21°20'42''","1425062"
"Aleksandrów","51°09'59''","21°31'17''","1409052"
"Aleksandrów","51°06'55''","21°22'01''","1409042"
"Aleksandrów","51°12'48''","20°45'20''","1430012"
"Aleksandrów Duży","51°04'55''","21°35'07''","1409052"
"Aleksandrów","50°55'58''","21°58'21''","0607042"
"Aleksandrów","51°40'40''","18°55'26''","1019025"
"Aleksandrów","50°02'33''","22°31'34''","1814011"
"Aleksandrów","51°28'09''","19°37'13''","1010042"
"Aleksandrów","51°17'25''","18°53'37''","1001062"
"Aleksandrów","51°14'30''","19°15'19''","1001042"
"Aleksandrów","51°13'44''","19°29'30''","1012055"
"Aleksandrów","51°15'58''","19°58'41''","1010012"
"Aleksandrów","50°46'49''","19°45'49''","2404065"
"Aleksandrów","50°45'40''","21°23'03''","2606045"
"Aleksandrów k. Wąsosza","50°43'47''","19°41'26''","2404065"
"Aleksandrów","50°24'06''","20°40'50''","2601082"
"Aleksandrów","50°34'34''","20°09'22''","2602065"
"Aleksandrów","50°25'37''","20°30'53''","2608045"
"Aleksandrów","50°55'06''","18°43'12''","2406062"
"Aleksandrów-Stawka","51°17'17''","22°24'48''","0609072"
"Aleksandrów Czwarty","50°28'24''","22°50'44''","0602022"
"Aleksandrów Drugi","50°27'57''","22°53'33''","0602022"
"Aleksandrów Kujawski","52°52'30''","18°41'41''","0401011"
"Aleksandrów Łódzki","51°49'13''","19°18'18''","1020044"
"Aleksandrów Pierwszy","52°10'22''","21°13'43''","1465148"
"Aleksandrów Pierwszy","50°27'51''","22°55'16''","0602022"
"Aleksandrów Południowy","52°12'45''","21°43'42''","1412082"
"Aleksandrów Północny","52°12'58''","21°44'05''","1412082"
"Aleksandrów Trzeci","50°28'12''","22°52'02''","0602022"
"Kolonia Aleksandrów","50°28'06''","22°49'44''","0602022"
"Aleksandrówek","52°04'39''","18°04'56''","3010022"
"Aleksandrówek","52°10'12''","19°00'53''","1004042"
"Aleksandrówek","51°51'32''","19°00'08''","1011035"
"Aleksandrówek","51°33'41''","19°12'19''","1003025"
"Aleksandrówek","51°33'48''","19°33'49''","1006115"
"Aleksandrów Pierwszy","51°34'06''","19°33'22''","1006115"
"Aleksandrów Drugi","51°34'38''","19°33'11''","1006115"
"Aleksandrówka","51°35'59''","16°27'05''","0204022"
"Aleksandrówka","52°14'30''","18°38'20''","3009072"
"Aleksandrówka","52°11'34''","19°42'27''","1002115"
"Aleksandrówka","52°52'48''","20°37'57''","1402011"
"Aleksandrówka","54°16'15''","23°06'44''","2012082"
"Aleksandrówka","52°27'40''","20°43'60''","1414052"
"Aleksandrówka","52°12'03''","21°25'14''","1412052"
"Aleksandrówka","53°18'31''","23°45'43''","2011045"
"Aleksandrówka","52°13'53''","22°03'55''","1433022"
"Aleksandrówka","53°16'60''","23°44'36''","2011102"
"Aleksandrówka","51°50'15''","22°45'36''","0601042"
"Aleksandrówka","51°57'11''","23°05'27''","0601032"
"Aleksandrówka","51°50'45''","23°03'08''","0601132"
"Aleksandrówka","51°51'00''","20°45'12''","1406012"
"Aleksandrówka","51°57'51''","22°05'43''","0611082"
"Aleksandrówka","51°19'40''","23°20'51''","0603102"
"Aleksandrówka","51°29'11''","22°24'16''","0608082"
"Aleksandrówka","51°12'36''","23°07'43''","0603115"
"Aleksandrówka","51°34'15''","21°32'37''","1407055"
"Aleksandrówka","51°24'56''","21°37'37''","1436022"
"Aleksandrówka","50°52'15''","22°26'51''","0605012"
"Aleksandrówka","51°55'33''","19°01'36''","1011012"
"Aleksandrówka","50°59'24''","20°53'53''","2604025"
"Aleksandrówka","50°49'17''","19°31'35''","2404142"
"Aleksandrynów","52°30'08''","19°22'39''","1404022"
"Aleksewo","52°35'56''","20°00'04''","1419042"
"Aleksicze","52°58'08''","23°21'40''","2002145"
"Kolonia Aleksicze","52°57'25''","23°21'06''","2002145"
"Aleksiejówka","54°02'48''","23°21'56''","2009022"
"Alfonsowo","51°47'04''","20°58'02''","1406062"
"Alfonsów","52°24'01''","19°52'38''","1419112"
"Alfonsów","51°48'18''","18°48'37''","1011062"
"Alfonsów","51°43'20''","19°09'55''","1003052"
"Alfonsów","51°19'31''","20°07'37''","1007052"
"Kolonia Alfred","50°17'34''","19°00'41''","2469011"
"Alfredówka","50°27'53''","21°44'25''","1820045"
"Algier","52°30'02''","16°04'56''","3015025"
"Alinia","52°03'56''","18°26'39''","3027092"
"Alinowo","52°23'42''","18°08'14''","3010045"
"Alojzów","50°59'25''","23°33'09''","0603072"
"Alojzów","51°13'15''","21°15'18''","1425035"
"Alojzów","50°45'10''","23°49'07''","0604082"
"Kolonia Alojzów","50°45'29''","23°47'37''","0604082"
"Alpy","54°40'47''","18°03'25''","2215052"
"Alpy","54°05'29''","17°09'13''","2201065"
"Altain","52°26'02''","22°56'09''","2010092"
"Altana","52°42'19''","18°37'06''","0411032"
"Altana","52°00'45''","23°04'17''","0601032"
"Altanka","52°15'09''","20°13'03''","1428072"
"Altona","52°37'35''","15°11'37''","0807012"
"Alwernia","50°03'57''","19°32'35''","1203014"
"Alwus","52°09'50''","23°18'19''","0601122"
"Amalka","54°16'23''","17°48'26''","2205072"
"Amandów","50°08'28''","18°03'59''","2411072"
"Ambrożew","52°01'48''","19°18'56''","1004032"
"Ambrożów","50°56'09''","21°06'35''","2611042"
"Amelin","53°03'55''","21°14'22''","1411042"
"Amelin","51°37'35''","22°40'40''","0613062"
"Amelin","51°25'46''","22°22'19''","0608052"
"Amelin","51°03'31''","19°30'56''","1012122"
"Ameliówka","50°54'25''","20°47'07''","2604092"
"Ameryczka","52°59'37''","17°38'10''","0410055"
"Ameryka","51°56'18''","17°42'25''","3006032"
"Ameryka","50°46'46''","17°50'20''","1609032"
"Ameryka","50°50'12''","18°22'46''","1608035"
"Ameryka","52°51'22''","16°02'20''","3002032"
"Ameryka","52°38'23''","17°43'19''","3003095"
"Ameryka","52°35'59''","17°40'50''","3003032"
"Ameryka","50°38'37''","18°20'34''","1611035"
"Ameryka","54°40'31''","17°26'16''","2212042"
"Ameryka","54°47'07''","18°14'37''","2211062"
"Ameryka","54°24'13''","18°00'28''","2205025"
"Ameryka","50°41'05''","17°32'50''","1609075"
"Ameryka","54°00'13''","17°46'07''","2206022"
"Ameryka","53°12'31''","17°28'03''","0410042"
"Ameryka","53°32'54''","19°20'40''","2812022"
"Ameryka","53°19'28''","17°07'31''","3031082"
"Ameryka","53°20'60''","18°02'43''","0403045"
"Ameryka","53°36'28''","20°19'01''","2814095"
"Ameryka","51°37'13''","20°16'49''","1016082"
"Ameryka","51°37'29''","19°01'03''","1019042"
"Ameryka","50°38'02''","23°54'43''","0604052"
"Ameryka","51°10'27''","19°01'11''","1009052"
"Ameryka","50°06'24''","20°23'48''","1201032"
"Ameryka","50°43'00''","18°47'08''","2407042"
"Ameryka","50°42'27''","18°35'23''","2407072"
"Rzepiska","50°28'54''","18°38'34''","2413082"
"Ameryka Dzierżąska","54°19'26''","18°16'13''","2205025"
"Ameryka Północna","50°23'15''","20°25'33''","2608015"
"Ameryka-Wiskitno Wybudowanie","53°21'00''","17°45'07''","0403045"
"Ameryka Wschodnia","50°23'07''","20°26'07''","2608015"
"Amerykanka","49°46'15''","21°17'11''","1805092"
"Amirowice","51°51'36''","20°29'22''","1013025"
"Anachów","50°17'28''","17°55'04''","1610025"
"Anastazew","52°31'24''","21°29'18''","1435062"
"Anastazew","51°53'45''","19°11'44''","1020072"
"Anastazewo","52°27'14''","18°01'47''","3023052"
"Anastazów","50°05'03''","21°34'52''","1815022"
"Anastazów","51°24'45''","19°19'20''","1001022"
"Anastazówek","51°25'15''","19°19'25''","1001022"
"Anatolin","52°19'31''","19°45'51''","1404032"
"Anatolka","50°42'22''","20°20'38''","2602025"
"Ancuty","52°55'28''","23°29'23''","2005082"
"Osiedle Andaluzja","50°22'05''","18°58'51''","2471011"
"Andersy","53°51'00''","18°32'47''","2213102"
"Andrespol","51°43'32''","19°38'20''","1006022"
"Andruszkowice","50°40'04''","21°41'57''","2609072"
"Andrychów","49°51'19''","19°20'42''","1218014"
"Andrychy","53°30'42''","22°08'44''","2006022"
"Andryjanki","52°36'32''","22°59'50''","2003042"
"Andrzejewo","52°23'21''","17°13'12''","3021084"
"Andrzejewo","52°23'16''","17°58'21''","3023042"
"Andrzejewo","53°55'03''","19°16'25''","2216015"
"Andrzejewo","54°16'59''","23°05'32''","2012082"
"Andrzejewo","52°49'49''","22°12'02''","1416022"
"Andrzejewo","53°45'31''","23°06'32''","2001072"
"Andrzejewo","53°32'33''","23°30'16''","2011072"
"Andrzejewo-Kolonie","52°51'02''","22°11'47''","1416022"
"Andrzejki","53°06'16''","21°59'47''","2007022"
"Andrzejki-Tyszki","52°58'24''","21°56'51''","1415032"
"Andrzejówka-Kolonia","50°38'15''","23°51'01''","0604052"
"Andrzejów","51°10'54''","18°14'02''","1018052"
"Andrzejów","52°21'11''","19°39'21''","1404052"
"Andrzejów","52°18'35''","20°19'07''","1428022"
"Zacisze","53°23'02''","23°01'19''","2008022"
"Andrzejów","51°23'12''","23°13'09''","0619052"
"Andrzejów","51°04'51''","23°41'06''","0603062"
"Andrzejów","51°17'14''","21°45'17''","1436032"
"Andrzejów","50°45'56''","22°26'25''","0605042"
"Andrzejów","51°37'34''","18°52'18''","1019042"
"Andrzejów","51°36'53''","18°52'42''","1019042"
"Andrzejów","51°44'27''","19°36'27''","1061069"
"Andrzejów","51°17'34''","19°02'37''","1001062"
"Andrzejów","51°07'10''","19°07'26''","1009072"
"Andrzejów","50°40'11''","18°37'44''","2407072"
"Andrzejów Duranowski","52°11'58''","20°14'58''","1428072"
"Andrzejówka","51°10'25''","15°31'12''","0212035"
"Andrzejówka","51°51'02''","18°34'30''","3027042"
"Andrzejówka","51°58'41''","21°38'08''","1403092"
"Andrzejówka","51°28'11''","22°31'22''","0608052"
"Andrzejówka","51°24'42''","21°36'09''","1436022"
"Andrzejówka","50°35'36''","22°36'29''","0602032"
"Andrzejówka","51°24'56''","18°40'50''","1014115"
"Andrzejówka","50°38'40''","23°51'06''","0604052"
"Andrzejówka","50°35'31''","20°45'08''","2604045"
"Andrzejówka","49°20'32''","20°49'26''","1210115"
"Andrzejpole","52°18'47''","17°18'36''","3025012"
"Andzin","52°35'10''","20°40'43''","1414045"
"Andziółówka","49°34'49''","18°53'57''","2403092"
"Annetów","52°12'02''","19°39'19''","1002022"
"Anglia","50°03'54''","21°15'47''","1803032"
"Anglity","54°05'26''","19°44'35''","2804075"
"Angowice","53°39'21''","17°33'38''","2202032"
"Aniele","54°15'02''","22°01'41''","2818012"
"Anielew","52°16'29''","18°19'03''","3010052"
"Anielew","52°17'26''","19°38'17''","1404032"
"Anielew","52°10'09''","21°39'35''","1412112"
"Anielewo","52°06'14''","17°48'12''","3023085"
"Anielewo","52°20'01''","18°05'09''","3010032"
"Anielewo","53°13'00''","19°02'42''","0417022"
"Anielewo","53°18'31''","19°21'30''","0402022"
"Anielin","51°52'01''","18°06'20''","3007112"
"Anielin","51°45'22''","17°09'13''","3004042"
